sku,upc,name_en,name_kr,item_volume,desc_en,desc_kr,category,note,uom,box_price,pack_price,unit_price,units_per_box,zone_type,min_stock_qty,shelf_life_days,image_url,is_active,manufacturer_id,supplier_id
BEV-002,733815005006,Ramune,,6.67oz,Peach,???,Beverage,,BOX,38.34,0,2.13,18,A,10,365,,TRUE,,
BEV-003,733815003675,Ramune,,6.67oz,Strawberry,??,Beverage,,BOX,38.34,0,2.13,18,A,10,365,,TRUE,,
BEV-004,733815005013,Ramune,,6.67oz,Lychee,??,Beverage,,BOX,38.34,0,2.13,18,A,10,365,,TRUE,,
BEV-006,850058543628,Popping Boba,,13.8oz,Mixed Berry,????,Beverage,,BOX,26.4,0,2.2,12,A,10,365,,TRUE,,
BEV-007,850058543666,Popping Boba,,13.8oz,Mango,??,Beverage,,BOX,26.4,0,2.2,12,A,10,365,,TRUE,,
BEV-008,850058543604,Popping Boba,,13.8oz,Peach,???,Beverage,,BOX,26.4,0,2.2,12,A,10,365,,TRUE,,
BEV-009,850058543642,Popping Boba,,13.8oz,Strawberry,??,Beverage,,BOX,26.4,0,2.2,12,A,10,365,,TRUE,,
BEV-010,850023692184,Bubble Tea,,16oz,Taro,??,Beverage,,BOX,42.96,0,1.79,24,A,10,365,,TRUE,,
BEV-011,850023692177,Bubble Tea,,16oz,Matcha,??,Beverage,,BOX,42.96,0,1.79,24,A,10,365,,TRUE,,
BEV-012,850023692153,Bubble Tea,,16oz,Brown Sugar,?????,Beverage,,BOX,42.96,0,1.79,24,A,10,365,,TRUE,,
BEV-013,850051517091,Bubble Tea,,16oz,Strawberry,??,Beverage,,BOX,42.96,0,1.79,24,A,10,365,,TRUE,,
BEV-014,850023692559,Bubble Tea,,16oz,Thai Tea,???,Beverage,,BOX,42.96,0,1.79,24,A,10,365,,TRUE,,
BEV-015,850023692160,Bubble Tea,,16oz,Honey Dew,???,Beverage,,BOX,42.96,0,1.79,24,A,10,365,,TRUE,,
BEV-017,850051517237,Vietnamese Coffee,,16oz,Original,????,Beverage,,BOX,21.48,0,1.79,12,A,10,365,,TRUE,,
BEV-018,850058543376,Tok Tok,,10.8oz,Strawberry,??,Beverage,,BOX,14.4,0,1.2,12,A,10,365,,TRUE,,
BEV-019,,Tok Tok,,10.8oz,Melon,??,Beverage,,BOX,14.4,0,1.2,12,A,10,365,,TRUE,,
BEV-021,850058543383,Tok Tok,,10.8oz,Mango,??,Beverage,,BOX,14.4,0,1.2,12,A,10,365,,TRUE,,
BEV-022,850058543390,Tok Tok,,10.8oz,Pineapple,????,Beverage,,BOX,14.4,0,1.2,12,A,10,365,,TRUE,,
BEV-023,850058543406,Tok Tok,,10.8oz,Lychee,??,Beverage,,BOX,14.4,0,1.2,12,A,10,365,,TRUE,,
BEV-024,850075808199,Tok Tok,,16.9oz,Strawberry,??,Beverage,,BOX,17.28,0,1.44,12,A,10,365,,TRUE,,
BEV-025,,Tok Tok,,16.9oz,Melon,??,Beverage,,BOX,17.28,0,1.44,12,A,10,365,,TRUE,,
BEV-027,850023692658,Tok Tok,,16.9oz,Mango,??,Beverage,,BOX,17.28,0,1.44,12,A,10,365,,TRUE,,
BEV-028,,Tok Tok,,16.9oz,Pineapple,????,Beverage,,BOX,17.28,0,1.44,12,A,10,365,,TRUE,,
BEV-029,850075808212,Tok Tok,,16.9oz,Lychee,??,Beverage,,BOX,17.28,0,1.44,12,A,10,365,,TRUE,,
BEV-030,884394009913,OKF Aloe Vera w/Fruit,,,Green Apple,????,Beverage,,BOX,31.2,0,1.56,20,A,10,365,,TRUE,,
BEV-031,884394010155,OKF Aloe Vera w/Fruit,,,Strawberry,??,Beverage,,BOX,31.2,0,1.56,20,A,10,365,,TRUE,,
BEV-032,884394010131,OKF Aloe Vera w/Fruit,,,Honey Mango,????,Beverage,,BOX,31.2,0,1.56,20,A,10,365,,TRUE,,
BEV-033,884394009753,OKF Aloe Vera w/Fruit,,,Pink Peach,????,Beverage,,BOX,31.2,0,1.56,20,A,10,365,,TRUE,,
BEV-034,884394007971,OKF Smoothie,,,Purple,??,Beverage,,BOX,33,0,1.65,20,A,10,365,,TRUE,,
BEV-035,884394007919,OKF Smoothie,,,Orange,???,Beverage,,BOX,33,0,1.65,20,A,10,365,,TRUE,,
BEV-036,884394007957,OKF Smoothie,,,Green,??,Beverage,,BOX,33,0,1.65,20,A,10,365,,TRUE,,
BEV-037,884394007872,OKF Smoothie,,,Red,??,Beverage,,BOX,33,0,1.65,20,A,10,365,,TRUE,,
BEV-038,884394007933,OKF Smoothie,,,Yellow,??,Beverage,,BOX,33,0,1.65,20,A,10,365,,TRUE,,
BEV-039,884394008923,OKF Smoothie,,,Tropical,????,Beverage,,BOX,33,0,1.65,20,A,10,365,,TRUE,,
BEV-040,884394008947,OKF Smoothie,,,Mix Berry,????,Beverage,,BOX,33,0,1.65,20,A,10,365,,TRUE,,
BEV-041,53722702417,Pocaville Nectar,,8.4oz,Mango,??,Beverage,,BOX,16.8,0,0.7,24,A,10,365,,TRUE,,
BEV-042,53722702424,Pocaville Nectar,,8.4oz,Guava,???,Beverage,,BOX,16.8,0,0.7,24,A,10,365,,TRUE,,
BEV-043,850016330055,TOUCAN Coconut Milk,,490ml,Mango,??,Beverage,,BOX,21.48,0,1.79,12,A,10,365,,TRUE,,
BEV-044,850016330062,TOUCAN Coconut Milk,,490ml,Strawberry,??,Beverage,,BOX,21.48,0,1.79,12,A,10,365,,TRUE,,
BEV-045,850016330079,TOUCAN Coconut Milk,,490ml,Pineapple,????,Beverage,,BOX,21.48,0,1.79,12,A,10,365,,TRUE,,
BEV-046,850016330048,TOUCAN Coconut Milk,,490ml,Original,????,Beverage,,BOX,21.48,0,1.79,12,A,10,365,,TRUE,,
BEV-047,,Ginseng Root Drink,,4.06oz,Ginseng Root Drink,????,Beverage,,EA,0,0,19.9,5,A,100,365,,TRUE,,
